id_kinopoisk,title,genres,actors,description,countries
102124,Пираты Карибского моря: На краю Света,"['Фэнтези', 'Боевик', 'Приключения']","['Джонни Депп', 'Джеффри Раш', 'Орландо Блум', 'Кира Найтли', 'Том Холландер', 'Билл Найи', 'Стеллан Скарсгард', 'Наоми Харрис', 'Джек Девенпорт', 'Чоу Юнь-Фат', 'Сергей Дьячков', 'Виктор Костецкий', 'Андрей Зайцев', 'Евгения Игумнова', 'Олег Куликович']","Новые приключения Джека Воробья и его друзей Уилла Тернера и Элизабет Суонн. На этот раз Уиллу и Элизабет придется объединиться с самим Капитаном Барбоссой для того, чтобы отправиться на край света и спасти своего друга  Джека. Ситуация осложняется тем, что Элизабет попадает к сингапурским пиратам",['США']
13970,Кошка на раскаленной крыше,['Драма'],"['Элизабет Тейлор', 'Пол Ньюман', 'Берл Айвз', 'Джек Карсон', 'Джудит Андерсон', 'Мадлен Шервуд', 'Ларри Гейтс', 'Вон Тейлор', 'Зельда Кливер', 'Брайан Коркоран']","Богатый престарелый южанин узнает, что скоро должен умереть. Все члены его жадной семьи, за исключением шалопая-сына, лезут из кожи вон, лишь бы получить наследство.",['США']
81555,Загадочная история Бенджамина Баттона,"['Драма', 'Фэнтези']","['Брэд Питт', 'Кейт Бланшетт', 'Джулия Ормонд', 'Тараджи П. Хенсон', 'Джейсон Флеминг', 'Джаред Харрис', 'Тильда Суинтон', 'Махершала Али', 'Эль Фаннинг', 'Элиас Котеас', 'Всеволод Кузнецов', 'Александра Назарова', 'Ольга Зубкова', 'Ольга Голованова', 'Мария Овчинникова']","Фильм о мужчине, который родился в возрасте 80-ти лет, а затем начал молодеть. Этот человек, как и каждый из нас, не мог остановить время. Его путь в ХХI век, берущий свое начало в Новом Орлеане в 1918-м году в самом конце Первой Мировой войны, будет столь необычен, что вряд ли мог иметь место в жизни кого-либо другого. Фильм повествует о судьбе уникального человека, о людях и событиях, что ждут его впереди, о любви, которую он обретет и потеряет, о радостях жизни и грусти потерь и о том, что остается с нами вне времени.",['США']
62649,Будешь со мной дружить?,"['Мюзикл', 'Драма', 'Мелодрама', 'Семейный']","['Ритик Рошан', 'Карина Капур', 'Рани Мукхерджи', 'Удай Чопра', 'Сатиш Шах', 'Киран Кумар', 'Смита Джайкар', 'Химани Шивпури', 'Сачин Кхедекар', 'Майя Алагх']","Трое друзей  Радж, Тина и Пуджа  расстаются в детстве, когда Радж уезжает на учебу в Лондон. Раджу нравится Тина и он договаривается переписываться с ней по E-mail. Но Тине лень писать длинные письма, и Пуджа, симпатизирующая Раджу, ведет переписку от ее имени.Долгие годы переписки сближают молодых людей. Через пятнадцать лет Радж приезжает в родной город и Пуджа, боясь разочаровать его, уговаривает Тину не разглашать тайну переписки",['Индия']
44062,"Свой среди чужих, чужой среди своих","['Боевик', 'Драма']","['Юрий Богатырев', 'Александр Кайдановский', 'Александр Калягин', 'Сергей Шакуров', 'Александр Пороховщиков', 'Анатолий Солоницын', 'Александр Адабашьян', 'Николай Засухин', 'Николай Пастухов', 'Никита Михалков', 'Игорь Кваша']","Действие этого психологического «вестерна» происходит в 20-е годы в маленьком губернском городке на юге России. Гражданская война кончилась, но до полной победы большевиков еще далеко. Группа бандитов из бывших белых офицеров грабит поезд с золотом, на которое нужно было купить хлеб для голодающих, и пятеро друзей, бывших красных бойцов, вступают с ними в смертельную схватку.Получается так, что подозрение в предательстве падает на одного из них (первая роль Богатырева в полнометражном кино), и, сбежав от товарищей, он один должен вернуть золото, чтобы доказать свою невиновность.",['СССР']
8222,Кошмар перед рождеством,"['Мультфильм', 'Мюзикл', 'Фэнтези', 'Семейный']","['Дэнни Элфман', 'Крис Сарандон', 'Кэтрин О’Хара', 'Уильям Хикки', 'Гленн Шэдикс', 'Пол Рубенс', 'Кен Пейдж', 'Эд Айвори', 'Сьюзэн МакБрайд', 'Деби Дерст', 'Евгений Маргулис', 'Максим Покровский', 'Алексей Кортнев', 'Андрей Макаревич', 'Тутта Ларсен']","Мультфильм рассказывает о царстве Хэллоуин, царстве страхов и кошмаров, где живут мертвецы, уродцы, чудовища во главе с царем ужасов Джеком Скеллингтоном. Под рождество Джек случайно попадает в город Рождества, где узнает, что есть где-то радость, добро и веселье.Ему страшно захотелось испытать это чувство  дарить людям счастье  и он похитил Санта Клауса и занял его место. Результаты были, правда, самые плачевные, да и подарки его никому, мягко говоря, не понравились. Но он все понял и исправил свою ошибку.",['США']
844,Звёздные войны. Эпизод II: Атака клонов,"['Фантастика', 'Боевик', 'Фэнтези', 'Приключения']","['Юэн Макгрегор', 'Хейден Кристенсен', 'Натали Портман', 'Кристофер Ли', 'Сэмюэл Л. Джексон', 'Фрэнк Оз', 'Иен Макдермид', 'Пернилла Аугуст', 'Темуэра Моррисон', 'Джимми Смитс', 'Евгений Иванов', 'Андрей Зайцев', 'Юлия Николаева', 'Аркадий Волгин', 'Сергей Воробьев']","Действие разворачивается через 10 лет после событий, описанных в первом эпизоде знаменитой саги. Республика все глубже погружается в пучину противоречий и хаоса. Движение сепаратистов, представленное сотнями планет и могущественным альянсом корпораций, грозит стать новой угрозой для Галактики, с которой не смогут справиться даже джедаи.Назревающий конфликт, заранее спланированный могущественными, но пока еще не разоблаченными силами, ведет к началу Клонических войн и к закату республики. Чтобы противостоять угрозе вселенских масштабов, Верховный канцлер Палпатин добивается консолидации власти в республике в своих руках и отдает приказ о создании республиканской армии для поддержки малочисленной группы джедаев в их борьбе с превосходящим противником.",['США']
688,Гарри Поттер и Тайная Комната,"['Фэнтези', 'Приключения', 'Семейный']","['Дэниэл Рэдклифф', 'Руперт Гринт', 'Эмма Уотсон', 'Том Фелтон', 'Кеннет Брана', 'Бонни Райт', 'Алан Рикман', 'Ричард Харрис', 'Мэгги Смит', 'Робби Колтрейн', 'Николай Быстров', 'Ольга Сирина', 'Лина Иванова', 'Александр Скрывля', 'Вадим Андреев']","Гарри Поттер переходит на второй курс Школы чародейства и волшебства Хогвартс. Эльф Добби предупреждает Гарри об опасности, которая поджидает его там, и просит больше не возвращаться в школу.Юный волшебник не следует совету эльфа и становится свидетелем таинственных событий, разворачивающихся в Хогвартсе. Вскоре Гарри и его друзья узнают о существовании Тайной Комнаты и сталкиваются с новыми приключениями, пытаясь победить темные силы.","['Великобритания', 'США', 'Германия']"
5492,Вечное сияние чистого разума,"['Мелодрама', 'Фантастика', 'Драма']","['Джим Керри', 'Кейт Уинслет', 'Джерри Роберт Бирн', 'Элайджа Вуд', 'Томас Джей Райан', 'Марк Руффало', 'Джейн Адамс', 'Дэвид Кросс', 'Кирстен Данст', 'Том Уилкинсон', 'Илья Бледный', 'Марианна Шульц', 'Олег Вирозуб', 'Александр Рахленко', 'Андрей Бархударов']","Застенчивый и меланхоличный Джоэл живёт ничем не примечательной серой и унылой жизнью. Но однажды вместо привычного рабочего маршрута молодой человек вдруг садится на электричку в другом направлении и устремляется к морю. На песчаном берегу Джоэл замечает девушку с ярко-синими волосами. На обратном пути они знакомятся в вагоне электрички и парень понимает, что у них с Клементиной очень много общего, как будто он уже знает эту девушку. Совсем скоро Джоэл поймёт, что действительно был знаком с ней, более того  они были парой.",['США']
339,Индиана Джонс: В поисках утраченного ковчега,"['Боевик', 'Приключения']","['Харрисон Форд', 'Карен Аллен', 'Пол Фримен', 'Рональд Лейси', 'Джон Рис-Дэвис', 'Денхолм Эллиот', 'Альфред Молина', 'Вольф Калер', 'Энтони Хиггинс', 'Вик Тэблиан']","Известный археолог и специалист по оккультным наукам доктор Джонс получает опасное задание от правительства США. Он должен отправиться на поиски уникальной реликвии  священного Ковчега. Но Индиана и не подозревает, что аналогичный приказ уже получили тайные агенты Адольфа Гитлера",['США']
